"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,0.02070729,0.02070092,0.02072071,0.01461789,0.01281175,0.0947621,0.009018038,0.001515788,0.0380387,0.02748692,0.01980087,0.001802121,0.002957177,0.0004974969,0.00603251,0.00305405,0.01427678,0.06175676,0.02932489,0.01109059,0.0006336347,0.1425146,0.001223119,0.06385525,0.03389063,0.002753289,0.01834199,0.003093117,0.0270442,0.0001828332,0.04923792,0.001403278,0.006787421,0.01265647,0.003014107,0.02023221,0.04302508,0.07276738,0.01535999,0.01362162,0.08562933,0.1080867,0.03554651,0.0265501,0.02516725,0.1825612,0.2571225,0.115325,0.1711247,0.007036249,0.05541214,0.165297,0.02017589,0.1256964,0.01742342,0.04482036,0.631416,2.087054,4.664787,2.093958,0.5188381,0.1476317,0.7142267,0.2872027,0.0728979,1.030575,0.08298416,0.06391228,0.5123095,0.2394066,12.25095,18.19812,16.19074,18.30444,31.98064,158.8533,25.86083,102.5704
2,0.02072389,0.02071359,0.02076315,0.01464658,0.0128155,0.09499855,0.009039024,0.001532322,0.03809383,0.02748475,0.02012516,0.001805401,0.003121544,0.0004950421,0.006071019,0.003110147,0.01466515,0.06194443,0.02957631,0.01108646,0.0006628745,0.1444577,0.001275591,0.0649913,0.03393682,0.002817357,0.01861767,0.003150463,0.02745676,0.0001852967,0.04959132,0.001407103,0.006881057,0.01272616,0.003118479,0.0202478,0.04386267,0.07376668,0.01535222,0.01367336,0.08629225,0.1089629,0.03567455,0.02665083,0.02539492,0.1833637,0.2605331,0.116327,0.1734672,0.007078283,0.05626817,0.1665385,0.02056644,0.1276572,0.01747134,0.04485438,0.6369182,2.364213,5.088315,2.236513,0.5544734,0.1554205,0.731735,0.2894068,0.07354032,1.085815,0.08753745,0.06928532,0.536968,0.2307575,12.72744,18.77946,18.97896,18.85452,39.62261,180.0318,30.5036,112.5793
3,0.02076125,0.02075261,0.02085784,0.0146987,0.01282546,0.09538996,0.009066512,0.00155066,0.03818483,0.02750659,0.02050995,0.001812404,0.003297039,0.0004926771,0.006124551,0.003170489,0.01507418,0.06242343,0.0298944,0.01110105,0.0007091148,0.1478164,0.001353065,0.06664365,0.03411829,0.002906501,0.01897236,0.003224329,0.02802916,0.0001890213,0.05009625,0.001412662,0.006990454,0.01283272,0.003299496,0.02058169,0.04501291,0.07536299,0.01541575,0.01379153,0.08748861,0.1106583,0.03598211,0.026865,0.02577497,0.1864667,0.2670711,0.1177376,0.1786755,0.0071371,0.0574811,0.1696991,0.02144589,0.1325486,0.01757975,0.04541248,0.6520199,2.860326,5.868443,2.496463,0.6166539,0.1700029,0.7687214,0.2956367,0.07579305,1.209122,0.0963368,0.08003885,0.590272,0.2255919,13.72733,20.15602,25.79107,20.61505,55.11993,198.7155,39.42635,131.2642
4,0.02082827,0.02084179,0.02104011,0.01478422,0.01284421,0.09598745,0.009103804,0.001571589,0.03832362,0.02756353,0.02097517,0.001823934,0.003487411,0.0004904258,0.00620097,0.003236367,0.01551517,0.06327183,0.03031607,0.01114871,0.0007630666,0.1522437,0.001437791,0.06884381,0.03444709,0.003005274,0.01938771,0.003302578,0.02870495,0.0001934324,0.0506706,0.001421215,0.007128738,0.01298739,0.00349664,0.02107931,0.04633088,0.07784023,0.01555409,0.01397138,0.08933244,0.1130974,0.03652299,0.02720755,0.02633747,0.1916708,0.2765041,0.1196952,0.1868231,0.007222702,0.05905853,0.1742192,0.0227302,0.1407832,0.01778154,0.04676276,0.6771044,3.214208,6.567646,2.747553,0.6768197,0.1842093,0.8203666,0.303479,0.07959105,1.454872,0.1068484,0.09228524,0.653434,0.2240189,14.9494,21.65266,32.00882,22.04837,56.21807,188.886,38.24215,137.9196
5,0.02092035,0.02099063,0.0212919,0.01489653,0.0128702,0.09674878,0.009150305,0.001594957,0.03850473,0.02765689,0.02149655,0.001838104,0.003693658,0.0004882745,0.006296156,0.003307257,0.01599211,0.06436502,0.03082646,0.01122463,0.0008094062,0.1572391,0.001499345,0.07146509,0.03483487,0.003097168,0.01983475,0.003370211,0.02942052,0.0001977528,0.05126785,0.001432333,0.007299539,0.01317473,0.003659553,0.02159642,0.0476783,0.08086693,0.01573954,0.01417687,0.09156968,0.1158164,0.03724484,0.02761796,0.02701944,0.197291,0.2869863,0.1220134,0.1960434,0.007327345,0.06074672,0.1788259,0.02406477,0.1505109,0.01803545,0.04851683,0.7051398,3.306531,6.979735,2.920546,0.7198039,0.194357,0.8696687,0.3099492,0.08363889,1.796423,0.1144455,0.09968331,0.6956586,0.2234702,15.91718,22.48799,32.6353,22.09237,49.25087,172.117,32.45098,132.7276
6,0.02102495,0.02118755,0.02155821,0.01502055,0.01289812,0.09757865,0.009201802,0.0016197,0.03870939,0.02777774,0.02202339,0.001851385,0.003913489,0.0004861729,0.006397927,0.003380916,0.01649785,0.06547081,0.03136463,0.01131088,0.0008324118,0.1617989,0.001510692,0.07411339,0.03516484,0.003161463,0.02025949,0.003407211,0.03006765,0.0002007581,0.05178375,0.001444353,0.007495479,0.0133654,0.003729805,0.02193358,0.04884249,0.08376249,0.01591591,0.01435602,0.09378314,0.1181945,0.03802295,0.0280074,0.02769086,0.201147,0.2955317,0.1243634,0.2035293,0.007433034,0.06221499,0.181896,0.02497335,0.158331,0.01825988,0.04997142,0.7257552,3.148153,6.973643,2.961769,0.733718,0.1976759,0.8950126,0.3122041,0.08619786,2.108988,0.1157994,0.0986346,0.6974979,0.2211252,16.2464,22.18818,26.773,20.57489,36.57597,140.2835,23.84471,116.0965
7,0.02112642,0.02140236,0.02178478,0.01513841,0.0129225,0.09836839,0.009252589,0.001644387,0.03891292,0.02790762,0.02250764,0.001860935,0.004142596,0.000484067,0.006493348,0.00345464,0.017017,0.06638202,0.03186425,0.0113859,0.0008307121,0.1653003,0.001474881,0.07643047,0.03535452,0.003192736,0.02062773,0.003410082,0.03058708,0.0002018908,0.0521796,0.001455314,0.007699894,0.01353202,0.003702519,0.02201811,0.04972823,0.08595314,0.01603952,0.0144775,0.09562669,0.1198743,0.03872304,0.02831079,0.02824084,0.2021712,0.3003519,0.1264412,0.2075452,0.007522377,0.06326465,0.1828785,0.02526359,0.1619088,0.01839587,0.05062313,0.732949,2.869065,6.653684,2.890207,0.7229934,0.1952924,0.8891631,0.3101506,0.08648813,2.255052,0.1115276,0.09106684,0.6650813,0.2152981,15.98634,21.02957,19.25714,18.31651,26.84292,115.7835,17.61101,96.72046
8,0.02121437,0.02160478,0.02195114,0.01524034,0.01294065,0.09905509,0.009298922,0.001668009,0.03909833,0.0280294,0.02293003,0.001866138,0.004377545,0.0004819263,0.006576165,0.003526734,0.01753563,0.06702632,0.03229477,0.01143744,0.000814469,0.1676098,0.001416583,0.07820797,0.03540193,0.003199544,0.02093355,0.003389863,0.03098078,0.0002013872,0.05246894,0.001464122,0.007896787,0.0136639,0.00361594,0.02189197,0.05035834,0.087343,0.01610287,0.0145448,0.09700613,0.1209224,0.03927768,0.02852107,0.02864187,0.2008654,0.3018597,0.1281356,0.208372,0.007588985,0.0639328,0.1824359,0.02509793,0.1615888,0.01844333,0.05046346,0.728639,2.645363,6.23498,2.765469,0.7011233,0.1903964,0.8624958,0.305759,0.08502291,2.221257,0.1046655,0.08165695,0.6194733,0.2064061,15.47278,19.64436,13.6545,16.31206,23.04837,115.5739,15.64776,83.99337
9,0.02128192,0.02177442,0.02205582,0.01532132,0.0129507,0.09959614,0.009338486,0.001689758,0.0392516,0.02812903,0.02327919,0.001866564,0.004615607,0.0004797253,0.0066434,0.003595603,0.01804351,0.06736607,0.03264229,0.01146078,0.000791081,0.1684698,0.00135345,0.07926486,0.03531466,0.003184472,0.02116342,0.0033505,0.03122878,0.0001993823,0.05262621,0.001470368,0.008075103,0.01375521,0.003487654,0.02154986,0.05069578,0.08802509,0.01609609,0.01455438,0.09787648,0.1213132,0.03964019,0.02863472,0.02887395,0.1976228,0.3002772,0.1294133,0.206343,0.007632795,0.06426012,0.180717,0.02454126,0.1580843,0.01842225,0.04967215,0.7152602,2.493853,5.744195,2.600551,0.6701333,0.1833766,0.8217513,0.299266,0.08226433,2.066494,0.09619862,0.07160809,0.5666874,0.195494,14.77557,18.13821,9.239311,14.52333,18.60906,105.2571,13.23794,73.11687
10,0.02132452,0.02189863,0.02209866,0.01537748,0.0129517,0.09996381,0.009369743,0.001709117,0.03936352,0.02819721,0.02354901,0.001862078,0.004854806,0.0004774489,0.006692813,0.00366014,0.01853393,0.06738281,0.03289808,0.01145254,0.0007668579,0.1679726,0.001298435,0.07958904,0.03509879,0.003152942,0.02131771,0.003298097,0.03133862,0.0001962455,0.05266945,0.001473762,0.008226881,0.01380171,0.003343405,0.02103346,0.05076099,0.08807094,0.01601771,0.01450727,0.0982203,0.1210756,0.03978182,0.02864956,0.02892815,0.1928539,0.296057,0.1302633,0.2018993,0.007653891,0.06428058,0.1780004,0.02369519,0.1521658,0.01834632,0.04837936,0.6950401,2.41273,5.236232,2.415672,0.6341945,0.175165,0.7734189,0.2912992,0.07861451,1.843116,0.08710193,0.0618287,0.5118152,0.1832831,13.98416,16.6422,6.004006,12.9978,15.41215,97.94267,11.65512,64.52075
