"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:25 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,0,0,0,0,0,0.0007580969,0.0001623247,8.185253E-05,0.001138832,0.0005222515,0.004138382,0.0002650095,0.0005736923,8.0097E-05,0.003389094,0.0009589716,0.001127866,0.01655847,0.004638392,0.002709708,7.665438E-05,0.006874471,0.001676859,0.008347305,0.0005312655,0.0006690197,0.004313964,2.40128E-05,0.006191167,1.585061E-08,0.001299012,0.0002974948,0.0001779348,0.00452757,0.0009358288,0.009755559,0.01082557,0.0009059875,0.002171549,0.002290719,0.0194049,0.05026472,0.0003703061,0.002329015,0.005087932,0.01432587,0.07552466,0.004035503,0.0005632517,4.09932E-05,0.002061473,0.002917803,8.047179E-05,0.0003275882,0,0,0.0076694,0.002633453,1.160379,1.31169,0.2593318,0.06449796,9.809756E-06,0.04300818,0.001709718,0.0001608736,0.01375665,0.1262884,0.04216181,0.1961263,0.02831364,0.03449392,0.00211904,9.575119E-06,0,0,0,0
2,0,0,0,0,0,0.0007599884,0.0001627024,8.274541E-05,0.001140482,0.0005222103,0.004206158,0.0002654918,0.0006055796,7.970178E-05,0.003410729,0.000976586,0.001158547,0.01660879,0.004678159,0.002708699,8.019169E-05,0.006968201,0.001748795,0.008495812,0.0005319896,0.0006845876,0.004378804,2.445799E-05,0.006285612,1.606418E-08,0.001308335,0.0002983059,0.0001780661,0.004552499,0.0009682346,0.009763075,0.01103631,0.0009184291,0.002170451,0.002299419,0.01955512,0.05067219,0.00037164,0.00233785,0.005133959,0.01438884,0.07652645,0.004041444,0.0005709617,4.123809E-05,0.00209332,0.002939717,8.202952E-05,0.0003326985,0,0,0.007736233,0.002983173,1.265733,1.400988,0.2771434,0.06790076,1.005023E-05,0.04330766,0.001724785,0.0001694966,0.01451147,0.1369054,0.04419114,0.1890408,0.02941487,0.03559582,0.002483963,9.862871E-06,0,0,0,0
3,0,0,0,0,0,0.0007631197,0.0001631972,8.373564E-05,0.001143207,0.0005226252,0.004286581,0.0002665216,0.0006396257,7.932101E-05,0.003440804,0.0009955337,0.00119086,0.01673722,0.004728472,0.002712265,8.578563E-05,0.007130215,0.00185501,0.008711811,0.0005348342,0.0007062485,0.004462225,2.503143E-05,0.006416651,1.638709E-08,0.001321656,0.0002994843,0.0001784354,0.004590621,0.001024437,0.009924069,0.01132573,0.0009383039,0.002179432,0.002319292,0.01982624,0.05146062,0.0003748441,0.002356638,0.005210791,0.01463233,0.07844686,0.004055216,0.0005881048,4.158075E-05,0.002138443,0.002995508,8.553721E-05,0.0003454463,0,0,0.007919663,0.00360917,1.459792,1.563825,0.3082232,0.07427159,1.055823E-05,0.043903,0.00177762,0.000188745,0.01597018,0.158154,0.04857793,0.1848091,0.03172576,0.03820505,0.003375529,1.078381E-05,0,0,0,0
4,0,0,0,0,0,0.0007678997,0.0001638685,8.486583E-05,0.001147362,0.000523707,0.004383811,0.0002682171,0.0006765578,7.895855E-05,0.003483736,0.001016219,0.001225699,0.01696469,0.004795169,0.002723909,9.231249E-05,0.007343773,0.001971166,0.008999421,0.0005399886,0.0007302493,0.004559915,2.56389E-05,0.006571359,1.67695E-08,0.001336809,0.0003012976,0.0001791175,0.004645948,0.001085647,0.01016401,0.01165734,0.0009691467,0.002198991,0.002349537,0.02024407,0.05259493,0.0003804786,0.002386687,0.005324509,0.01504071,0.08121763,0.004073252,0.0006149224,4.207947E-05,0.002197128,0.003075296,9.065971E-05,0.0003669072,0,0,0.008224347,0.0040557,1.63372,1.721112,0.338296,0.08047812,1.126757E-05,0.04411789,0.001866696,0.0002271068,0.01771273,0.1823524,0.05377601,0.1835204,0.03455015,0.04104188,0.004189308,1.153359E-05,0,0,0,0
5,0,0,0,0,0,0.0007739902,0.0001647055,8.612766E-05,0.001152784,0.000525481,0.00449278,0.000270301,0.0007165698,7.861219E-05,0.003537212,0.001038479,0.001263377,0.01725781,0.004875898,0.002742459,9.791846E-05,0.007584738,0.002055555,0.009342081,0.0005460673,0.0007525786,0.004665055,2.616396E-05,0.006735171,1.714405E-08,0.001352566,0.0003036546,0.0001798513,0.004712965,0.001136229,0.01041335,0.01199637,0.00100683,0.002225209,0.002384093,0.02075107,0.05385937,0.0003879985,0.002422689,0.00546238,0.01548173,0.08429655,0.004084231,0.0006452706,4.268912E-05,0.002259933,0.003156614,9.598264E-05,0.0003922594,0,0,0.008564875,0.004172194,1.736229,1.829478,0.3597808,0.08491152,1.194472E-05,0.04389411,0.001961633,0.0002804233,0.01897213,0.1969707,0.05725099,0.1830709,0.03678682,0.04262522,0.004271302,1.15566E-05,0,0,0,0
6,0,0,0,0,0,0.0007806292,0.0001656324,8.74638E-05,0.001158911,0.0005277771,0.004602889,0.0002722539,0.0007592169,7.827384E-05,0.003594387,0.001061608,0.00130333,0.0175543,0.004961022,0.00276353,0.0001007016,0.007804689,0.002071111,0.009688273,0.0005512399,0.0007682016,0.004764954,2.64512E-05,0.006883319,1.74046E-08,0.001366176,0.0003062028,0.0001803577,0.004781174,0.001158041,0.01057593,0.01228929,0.001042882,0.002250144,0.002414221,0.02125267,0.05496528,0.0003961045,0.002456851,0.005598117,0.01578432,0.08680661,0.004083802,0.0006699102,4.330487E-05,0.002314556,0.003210806,9.960653E-05,0.0004126401,0,0,0.008815277,0.003972351,1.734713,1.855301,0.3667356,0.08636149,1.229281E-05,0.0432905,0.00202165,0.0003292148,0.01919657,0.1948985,0.05740236,0.1811499,0.0375477,0.04205694,0.003504044,1.07628E-05,0,0,0,0
7,0,0,0,0,0,0.0007869471,0.0001665466,8.879692E-05,0.001165005,0.0005302448,0.004704097,0.0002736583,0.0008036636,7.793478E-05,0.003647995,0.001084757,0.001344343,0.01779861,0.005040048,0.002781861,0.0001004959,0.007973585,0.002022016,0.009991167,0.0005542134,0.0007758005,0.004851562,2.647348E-05,0.007002229,1.75028E-08,0.00137662,0.0003085267,0.0001804331,0.00484078,0.001149569,0.01061668,0.01251215,0.001070156,0.002267619,0.00243465,0.02167045,0.05574643,0.0004033977,0.002483465,0.005709303,0.01586469,0.08822244,0.004073574,0.0006831285,4.382538E-05,0.002353606,0.003228149,0.0001007642,0.0004219645,0,0,0.008902655,0.003620197,1.655123,1.810473,0.3613751,0.08532016,1.221247E-05,0.04269513,0.002028458,0.0003520156,0.01848843,0.1799449,0.05473456,0.1763762,0.03694666,0.03986083,0.002520371,9.581435E-06,0,0,0,0
8,0,0,0,0,0,0.0007924407,0.0001673806,9.007246E-05,0.001170556,0.0005325585,0.004792377,0.0002744235,0.0008492437,7.759014E-05,0.003694522,0.001107395,0.001385315,0.01797136,0.005108145,0.002794452,9.853093E-05,0.008084988,0.001942091,0.01022353,0.0005549564,0.0007774548,0.004923489,2.631652E-05,0.00709236,1.745914E-08,0.001384253,0.0003103939,0.0001801344,0.004887955,0.001122688,0.01055586,0.01267069,0.001087461,0.002276576,0.002445967,0.02198305,0.05623385,0.0004091757,0.002501911,0.005790378,0.01576222,0.08866532,0.004060324,0.0006858501,4.421343E-05,0.002378463,0.003220337,0.0001001034,0.0004211306,0,0,0.008850305,0.003337929,1.550969,1.732335,0.3504437,0.08318117,1.18462E-05,0.04236929,0.001994093,0.0003467402,0.01735086,0.1613513,0.05098113,0.1690917,0.03575974,0.03723522,0.001787099,8.532902E-06,0,0,0,0
9,0,0,0,0,0,0.0007967691,0.0001680927,9.124691E-05,0.001175145,0.0005344516,0.004865352,0.0002744861,0.0008954277,7.723578E-05,0.003732295,0.00112902,0.001425437,0.01806246,0.005163112,0.002800154,9.570155E-05,0.008126473,0.001855538,0.01036168,0.0005535884,0.0007737926,0.004977553,2.601094E-05,0.007149134,1.728532E-08,0.001388403,0.0003117179,0.0001796092,0.004920621,0.001082857,0.0103909,0.0127556,0.001095953,0.002275617,0.002447578,0.02218029,0.05641559,0.0004129521,0.002511881,0.005837296,0.01550777,0.08820051,0.004046584,0.0006791714,4.446867E-05,0.00239064,0.003189995,9.788313E-05,0.0004119971,0,0,0.008687802,0.003146753,1.428885,1.629028,0.3349539,0.08011433,1.128658E-05,0.04206515,0.001929394,0.0003225816,0.01594727,0.1414951,0.04663698,0.1601523,0.0341484,0.03438035,0.001209239,7.597211E-06,0,0,0,0
10,0,0,0,0,0,0.0007997106,0.0001686554,9.229233E-05,0.001178495,0.0005357469,0.004921742,0.0002738263,0.0009418324,7.686928E-05,0.003760056,0.001149284,0.001464181,0.01806695,0.005203572,0.002798141,9.277114E-05,0.008102489,0.001780114,0.01040406,0.0005502044,0.0007661311,0.005013842,2.560411E-05,0.007174279,1.701338E-08,0.001389543,0.0003124374,0.0001789443,0.004937256,0.00103807,0.0101419,0.012772,0.001096524,0.002264535,0.002439657,0.0222582,0.0563051,0.0004144276,0.002513183,0.005848254,0.01513355,0.08696091,0.004032951,0.0006645453,4.459158E-05,0.002391401,0.003142042,9.450856E-05,0.0003965725,0,0,0.008442201,0.003044392,1.302527,1.513217,0.3169906,0.07652684,1.062275E-05,0.04183372,0.001843793,0.0002877121,0.01443927,0.1221713,0.04212114,0.1501489,0.03231933,0.03154472,0.0007858031,6.799201E-06,0,0,0,0
