"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,16.64526,16.14006,16.68752,36.85931,3.825009,3.462908,2.99697,3.422976,3.218239,2.909364,6.158432,5.450538,8.944219,4.333612,9.687583,5.157061,3.850844,6.721528,4.377357,4.376929,15.46933,3.748266,21.36876,5.54348,5.147043,10.01678,3.856332,10.32319,3.988771,19.67927,4.340441,3.674442,4.517655,6.893823,19.06567,8.876996,3.721702,5.551289,6.490417,6.561403,7.32583,7.859514,9.543001,5.537853,6.239563,6.270875,6.861521,5.196986,6.849644,3.798377,6.531752,10.00608,9.965077,13.69981,1.513831,9.259652,12.12206,46.35814,23.99233,16.18455,14.52074,12.58726,18.98601,8.378022,8.886256,16.80107,21.01824,21.11577,20.93589,11.7333,11.15141,17.44787,88.60308,23.23714,0,0,0,0
2,17.42658,17.17293,18.72892,38.63794,3.938522,3.597011,3.058775,3.499846,3.296768,2.977792,6.373761,5.609011,8.88261,4.348894,9.890785,5.222991,3.887974,7.051939,4.542675,4.467397,15.28514,3.908664,21.05409,5.670863,5.480722,10.05583,3.953903,9.990152,4.131642,19.69882,4.483128,3.774435,4.686446,7.118606,19.20795,9.131179,3.845282,6.123503,6.880778,6.949504,7.818463,8.44004,9.897997,5.785255,6.558962,6.851913,7.449176,5.476111,7.470022,3.996347,7.016801,11.05079,11.0781,15.25292,1.75919,10.329,13.39682,46.89354,26.13975,17.91343,16.2365,14.12841,21.24136,9.463737,9.992239,19.29695,22.70601,23.01263,23.11468,12.62506,12.85262,19.45951,102.2397,25.73494,0,0,0,0
3,19.03544,19.4796,23.40632,42.20121,4.212929,3.856779,3.185274,3.677973,3.453726,3.117789,6.863364,5.983806,8.975408,4.379106,10.34513,5.376575,4.012575,7.725479,4.916818,4.69431,15.56872,4.236422,21.43069,5.970286,6.151217,10.44284,4.189925,10.16623,4.466228,20.3543,4.815589,4.020121,5.092124,7.634125,19.84891,9.695642,4.140103,7.414896,7.66678,7.726737,8.825794,9.549211,10.63208,6.286017,7.240447,8.014155,8.609294,6.059572,8.742762,4.458344,8.028544,13.06917,13.32895,18.44668,2.324175,12.69502,16.03921,49.77884,29.88928,21.0928,19.39327,16.93336,25.80646,11.43081,12.1754,24.9149,25.89453,26.09313,26.81757,14.26183,16.1023,22.83823,123.532,29.20054,0,0,0,0
4,20.46679,22.28405,27.07867,45.33844,4.420796,4.075176,3.30158,3.83264,3.590374,3.25905,7.180885,6.204255,9.063577,4.405419,10.70257,5.496605,4.144212,8.168558,5.212468,4.894406,15.41295,4.486196,21.28094,6.265762,6.467672,10.47939,4.355179,10.1182,4.662038,20.56184,5.035134,4.221001,5.527285,7.952872,19.7119,9.918077,4.277924,8.157952,8.097164,8.061403,9.435516,10.04538,11.17105,6.574747,7.619475,8.365889,8.999871,6.470491,9.187723,4.77122,8.375228,13.62765,13.86271,19.68643,2.654765,13.91505,17.01364,43.62869,27.57037,19.9479,18.44714,16.04256,26.7908,11.41926,12.68419,27.42095,24.77971,24.1684,25.45966,14.90093,15.78389,21.89255,109.5128,27.34346,0,0,0,0
5,21.55334,25.13207,28.93507,47.49183,4.554213,4.227232,3.394506,3.952663,3.701452,3.396565,7.310491,6.27848,9.108692,4.426786,10.91869,5.580728,4.257938,8.365563,5.388317,5.0278,14.70464,4.613316,20.42007,6.464972,6.489537,10.16931,4.422745,9.787188,4.715513,20.18929,5.130379,4.344947,5.930549,8.095984,19.03571,9.854209,4.279839,8.254589,8.255288,8.065379,9.643701,10.05967,11.5123,6.653796,7.745125,8.131598,8.847909,6.634489,9.013427,4.89243,8.211726,13.21768,13.25541,19.25306,2.66524,13.78305,16.6461,35.81199,23.72915,17.30513,16.03018,13.82187,25.48882,10.43227,11.9611,26.3902,22.24293,21.18937,22.48389,14.77147,14.02683,19.53293,94.42645,24.67068,0,0,0,0
6,21.76875,26.72749,27.76703,47.59021,4.5154,4.232605,3.413209,3.965657,3.730647,3.466532,7.122915,6.106362,9.019066,4.433315,10.86425,5.572184,4.273667,8.172658,5.318358,5.008247,13.60679,4.526302,19.04605,6.436476,6.10996,9.499652,4.328014,9.128624,4.550308,19.04099,4.993952,4.302484,6.091871,7.939288,17.87539,9.437878,4.09613,7.505522,7.948635,7.627792,9.279783,9.463521,11.43409,6.443858,7.46274,7.272958,8.012328,6.434501,8.125379,4.702623,7.456412,11.7217,11.4766,16.89335,2.288334,12.18361,14.75241,29.18609,18.95413,13.66808,12.62995,10.76265,21.81884,8.613243,10.13561,21.76673,18.82051,17.67534,18.56803,13.7171,11.18192,16.22282,77.81561,21.43136,0,0,0,0
7,21.31048,26.85982,24.93927,46.23267,4.372671,4.133387,3.374196,3.897307,3.695676,3.466986,6.770573,5.821925,8.830569,4.429573,10.65159,5.501593,4.199189,7.785523,5.101737,4.883647,12.61014,4.309055,17.81168,6.227356,5.584104,8.789642,4.141084,8.45725,4.27897,17.62392,4.723782,4.152781,6.015126,7.630717,16.78228,8.924433,3.842568,6.44991,7.448538,7.063836,8.665159,8.693975,11.10446,6.122952,7.007514,6.328873,7.039135,6.046645,7.103601,4.355444,6.569734,10.10661,9.66794,14.17381,1.785252,10.19214,12.56505,25.81501,15.27501,10.63823,9.818764,8.285109,18.07546,7.001566,8.28632,16.68203,16.09409,15.07018,15.5023,12.42315,8.808964,13.63339,64.10334,19.02183,0,0,0,0
8,20.53202,25.79165,21.95706,44.43645,4.208772,3.997645,3.310027,3.790996,3.630442,3.417793,6.417258,5.56377,8.607463,4.421743,10.40728,5.409758,4.069223,7.404002,4.860332,4.724831,12.04455,4.064412,17.16974,5.929671,5.164547,8.300505,3.947398,8.036181,4.024075,16.47079,4.444945,3.975876,5.772833,7.32577,16.1468,8.515686,3.621004,5.582063,7.017385,6.642639,8.10683,8.126704,10.725,5.860558,6.605156,5.691128,6.365767,5.666561,6.382144,4.018606,5.933882,9.075038,8.56851,12.25629,1.388729,8.626818,11.0314,27.70114,13.942,9.134428,8.491926,7.138831,15.78343,6.212164,7.105144,12.95375,14.87162,14.17962,14.27107,11.5102,7.740657,12.70021,58.4649,18.55987,0,0,0,0
9,19.30213,23.63915,18.73142,41.89087,3.976598,3.797161,3.207957,3.624474,3.513071,3.304232,5.988493,5.247198,8.347072,4.405101,10.08633,5.270776,3.885465,6.939966,4.556704,4.514869,11.79762,3.770669,16.95336,5.557004,4.700725,7.912916,3.723315,7.739023,3.738128,15.50894,4.118036,3.750878,5.356166,6.938321,15.72763,8.10373,3.375641,4.763964,6.468588,6.157203,7.449712,7.483236,10.17903,5.556735,6.119292,5.075802,5.664568,5.233957,5.656253,3.648343,5.297678,8.003047,7.496915,10.48001,1.065768,7.278777,9.586767,31.52406,12.7218,7.806519,7.289243,6.096351,13.62154,5.423158,6.091856,9.930223,13.61206,13.16853,13.02483,10.58163,6.638434,11.63278,51.76673,17.78087,0,0,0,0
10,17.9548,21.13465,15.72941,39.23355,3.736115,3.584467,3.096914,3.443637,3.381107,3.169229,5.573251,4.941021,8.102577,4.385348,9.75728,5.121631,3.695328,6.493153,4.253196,4.297332,11.80904,3.487249,17.05621,5.188212,4.288275,7.661016,3.507001,7.585781,3.471424,14.8611,3.812108,3.525078,4.889643,6.552394,15.5859,7.765758,3.151892,4.084032,5.948915,5.721181,6.834571,6.907914,9.617293,5.273986,5.659415,4.586475,5.08919,4.834919,5.061162,3.308832,4.767962,7.133344,6.683709,9.098525,0.8179666,6.203177,8.445921,36.33059,12.12455,6.908986,6.489947,5.405239,12.00612,4.857423,5.341065,7.703836,12.76732,12.55739,12.23091,9.871781,5.854276,10.93009,46.73107,17.36807,0,0,0,0
