"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:25 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,DiscardMortalityFleetGroup

timestep,fleet,group,value
1,2,9,4.548745E-08
1,2,18,4.851359E-07
1,2,23,8.35313E-11
1,2,26,1.701723E-07
1,2,28,4.00855E-09
1,2,35,4.663409E-09
1,2,46,8.155999E-05
1,3,26,9.104216E-10
1,3,28,1.887167E-08
1,3,35,4.57087E-09
1,4,15,1.669321E-06
1,5,9,1.95292E-06
1,5,12,1.308716E-07
1,6,12,6.729238E-07
1,6,18,1.021497E-07
1,8,28,1.618049E-08
1,9,9,6.097221E-08
1,9,12,2.45383E-11
1,9,18,9.875744E-09
1,9,41,5.907654E-10
1,9,42,6.217627E-08
1,9,43,5.287518E-09
1,9,44,4.426721E-13
1,9,47,1.895913E-07
1,9,48,5.082151E-10
1,9,49,5.463106E-10
1,12,9,6.546761E-08
1,12,12,1.369621E-05
1,12,21,6.387865E-06
1,12,23,0.0001281572
1,12,35,7.796644E-05
1,12,42,0.0003530869
1,12,44,9.5552E-06
1,12,46,4.439818E-06
1,12,47,0.001230959
1,12,48,4.190968E-06
1,13,23,2.3891E-11
1,13,26,2.02505E-07
1,13,28,1.033344E-07
1,13,35,1.249827E-10
1,13,46,4.835759E-07
1,14,9,2.059329E-05
1,14,18,3.817668E-05
1,14,25,5.671282E-06
1,14,26,1.284801E-06
1,14,28,1.345688E-06
1,14,34,1.428322E-05
1,14,40,2.31303E-06
1,14,41,5.035949E-06
1,14,42,8.266243E-06
1,14,44,3.857037E-06
1,14,45,1.342807E-07
1,14,46,1.229093E-05
1,14,47,4.041658E-05
1,14,48,6.278283E-07
1,14,49,6.409232E-06
1,14,52,1.335575E-05
1,14,53,2.624429E-07
1,14,57,2.913626E-07
1,14,64,1.004423E-06
1,14,65,4.430995E-05
1,15,9,1.504422E-06
1,15,15,3.662069E-07
1,15,18,5.965725E-06
1,15,25,1.401096E-07
1,15,26,3.318359E-07
1,15,28,2.564915E-07
1,15,34,7.170081E-06
1,15,35,4.740759E-09
1,15,40,3.789006E-07
1,15,41,2.015589E-05
1,15,42,4.370017E-07
1,15,43,2.131981E-09
1,15,44,8.996478E-09
1,15,45,3.72982E-06
1,15,46,2.407551E-06
1,15,47,5.957393E-07
1,15,48,4.343494E-07
1,15,49,5.212517E-07
1,15,52,9.415E-08
1,15,57,3.304744E-09
1,16,9,2.413514E-05
1,16,18,4.279091E-05
1,16,25,3.267197E-06
1,16,26,2.373903E-06
1,16,28,2.564915E-07
1,16,34,1.173929E-05
1,16,35,4.740759E-09
1,16,40,3.987488E-06
1,16,41,6.362216E-06
1,16,42,4.962803E-05
1,16,44,9.866036E-06
1,16,45,2.720362E-06
1,16,46,2.361686E-05
1,16,47,0.0002655899
1,16,48,1.718864E-06
1,16,49,1.326862E-05
1,16,52,5.110784E-06
1,16,53,2.619906E-07
1,16,57,4.191282E-07
1,16,64,1.849206E-07
1,16,65,1.05062E-07
2,2,9,4.555337E-08
2,2,18,4.866101E-07
2,2,23,8.711477E-11
2,2,26,1.741321E-07
2,2,28,4.082868E-09
2,2,35,4.824893E-09
2,2,46,8.191852E-05
2,3,26,9.316069E-10
2,3,28,1.922155E-08
2,3,35,4.72915E-09
2,4,15,1.679978E-06
2,5,9,1.955751E-06
2,5,12,1.311097E-07
2,6,12,6.741483E-07
2,6,18,1.024601E-07
2,8,28,1.648048E-08
2,9,9,6.106058E-08
2,9,12,2.458296E-11
2,9,18,9.905754E-09
2,9,41,5.953389E-10
2,9,42,6.268031E-08
2,9,43,5.306564E-09
2,9,44,4.443515E-13
2,9,47,1.921061E-07
2,9,48,5.089634E-10
2,9,49,5.537888E-10
2,12,9,6.556249E-08
2,12,12,1.372113E-05
2,12,21,6.682641E-06
2,12,23,0.0001336552
2,12,35,8.066625E-05
2,12,42,0.0003559492
2,12,44,9.591448E-06
2,12,46,4.459335E-06
2,12,47,0.001247287
2,12,48,4.197138E-06
2,13,23,2.491591E-11
2,13,26,2.072172E-07
2,13,28,1.052502E-07
2,13,35,1.293106E-10
2,13,46,4.857016E-07
2,14,9,2.062313E-05
2,14,18,3.829268E-05
2,14,25,5.679012E-06
2,14,26,1.314698E-06
2,14,28,1.370637E-06
2,14,34,1.436187E-05
2,14,40,2.321815E-06
2,14,41,5.074936E-06
2,14,42,8.333253E-06
2,14,44,3.871669E-06
2,14,45,1.354954E-07
2,14,46,1.234495E-05
2,14,47,4.095268E-05
2,14,48,6.287526E-07
2,14,49,6.496965E-06
2,14,52,1.345606E-05
2,14,53,2.675231E-07
2,14,57,2.939016E-07
2,14,64,1.011417E-06
2,14,65,4.470043E-05
2,15,9,1.506603E-06
2,15,15,3.685446E-07
2,15,18,5.983853E-06
2,15,25,1.403006E-07
2,15,26,3.395577E-07
2,15,28,2.612468E-07
2,15,34,7.209561E-06
2,15,35,4.904921E-09
2,15,40,3.803397E-07
2,15,41,2.031193E-05
2,15,42,4.405443E-07
2,15,43,2.13966E-09
2,15,44,9.030608E-09
2,15,45,3.763561E-06
2,15,46,2.418134E-06
2,15,47,6.036414E-07
2,15,48,4.349889E-07
2,15,49,5.283869E-07
2,15,52,9.485714E-08
2,15,57,3.333543E-09
2,16,9,2.417012E-05
2,16,18,4.292095E-05
2,16,25,3.27165E-06
2,16,26,2.429143E-06
2,16,28,2.612468E-07
2,16,34,1.180393E-05
2,16,35,4.904921E-09
2,16,40,4.002633E-06
2,16,41,6.41147E-06
2,16,42,5.003034E-05
2,16,44,9.903465E-06
2,16,45,2.744971E-06
2,16,46,2.372068E-05
2,16,47,0.0002691128
