"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:24 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1980,1,1,1,1,1,1,1,1,1,1,1,1,0.8623033,1,1,1,0.8650443,1,1,1,0.7191778,1,0.72161,1,1,0.779613,1,0.8032195,1,0.7827158,1,1,1,1,0.8084624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.047625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1981,1,1,1,1,1,1,1,1,1,1,1,1,1.205978,1,1,1,1.503228,1,1,1,1.175856,1,1.032272,1,1,1.295054,1,1.185516,1,1.29216,1,1,1,1,1.666692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.320576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1982,1,1,1,1,1,1,1,1,1,1,1,1,1.908458,1,1,1,2,1,1,1,1.099169,1,0.9158781,1,1,1.85798,1,1.489322,1,1.549926,1,1,1,1,1.257915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.182266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1983,1,1,1,1,1,1,1,1,1,1,1,1,1.842407,1,1,1,2,1,1,1,0.7373152,1,0.5984667,1,1,1.411595,1,1.092493,1,1.097991,1,1,1,1,0.9232867,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8836589,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1984,1,1,1,1,1,1,1,1,1,1,1,1,1.949861,1,1,1,2,1,1,1,1.146783,1,0.8989515,1,1,1.4184,1,1.322367,1,1.113427,1,1,1,1,1.174652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.60897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1985,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.024601,1,0.8733692,1,1,1.54984,1,1.354234,1,1.1534,1,1,1,1,1.055164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.293889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1986,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.040744,1,0.8153698,1,1,1.636235,1,1.378448,1,1.09629,1,1,1,1,0.9149397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.112385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1987,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9324225,1,0.6863679,1,1,1.549257,1,1.368022,1,0.9895992,1,1,1,1,0.8126972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.166843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1988,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.911679,1,0.6649714,1,1,1.480749,1,1.272342,1,0.9215977,1,1,1,1,0.9449911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.261905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1989,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.150744,1,0.8834028,1,1,1.605398,1,1.522226,1,1.090622,1,1,1,1,1.055942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.112932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1990,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.261594,1,1.020849,1,1,1.858822,1,1.636916,1,1.130072,1,1,1,1,1.036973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.476707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9678571,1,0.7750669,1,1,1.607628,1,1.361129,1,0.9304177,1,1,1,1,0.7994583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.215571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1992,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9225068,1,0.6642597,1,1,1.349558,1,1.229706,1,0.8128982,1,1,1,1,0.8289225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.051455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1993,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.182887,1,0.8983204,1,1,1.588872,1,1.590354,1,1.017946,1,1,1,1,1.012599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.260703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1994,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9477754,1,0.7702163,1,1,1.443272,1,1.352537,1,0.8511007,1,1,1,1,0.8602979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.146549,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7985502,1,0.6466033,1,1,1.121422,1,1.131404,1,0.6888954,1,1,1,1,0.7910194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9590957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
