"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:25 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,TotalCatch

year,value
1980,4.233082
1981,3.312038
1982,3.714685
1983,4.846367
1984,5.140677
1985,4.595662
1986,4.012302
1987,4.370483
1988,3.780681
1989,4.267182
1990,3.691512
1991,4.55289
1992,4.811048
1993,4.635994
1994,5.027481
1995,4.707519
1996,3.862964
1997,4.476408
1998,4.115651
1999,5.154274
2000,4.459561
2001,4.070543
2002,4.706301
2003,4.584095
2004,4.752659
2005,4.338216
2006,4.203254
2007,3.864196
2008,2.82322
2009,3.487893
2010,5.327566
2011,5.843068
2012,5.159215
2013,4.393124
2014,4.293623
2015,4.402948
2016,6.22208
