"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:25 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Value

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1980,0,0,0,0,0,0,0,0,0.0005694441,0,0,9.293441E-05,0,0,0.003578631,0,0,0.01634491,0,0,0,0,0.0001547741,0,0.0004327531,0.0006839887,0,0,0,1.682293E-08,0,0,0.0001790616,0.004352056,6.164276E-09,0,0,0,0,0.002304058,0.02071216,0.04884275,0.0003954138,0.002148912,0.005464379,0.01349199,0.06316809,0.003967864,0.0003622275,0,0,0.00286178,8.482808E-05,0.0003802864,0,0,0.008306737,0.002030316,0,0,0,0,1.092817E-05,0.04279842,0.001276387,0.0002606428,0,0,0,0,0.03307836,0.03607619,0.002256214,9.048502E-06,0,0,0,0
1981,0,0,0,0,0,0,0,0,0.0005846592,0,0,8.577854E-05,0,0,0.004744967,0,0,0.01674926,0,0,0,0,0.0001405615,0,0.0004169342,0.0006618146,0,0,0,1.585666E-08,0,0,0.001138347,0.001541655,5.286454E-09,0,0,0,0,0.002263247,0.02149229,0.05019094,0.0003797897,0.002311415,0.005117799,0.01233397,0.06266403,0.01313574,0.0003109803,0,0,0.002818484,6.994419E-05,0.0004272299,0,0,0.008219483,0.001424545,0,0,0,0,8.079036E-06,0.04916931,0.0009365698,0.0001328954,0,0,0,0,0.03431918,0.03684271,0.0009440884,9.37534E-06,0,0,0,0
1982,0,0,0,0,0,0,0,0,0.0005264666,0,0,6.752503E-05,0,0,0.003596334,0,0,0.01509713,0,0,0,0,0.000106642,0,0.0004266248,0.0005227304,0,0,0,1.566241E-08,0,0,0.00151778,0.001781232,4.995773E-09,0,0,0,0,0.001967254,0.02043464,0.04397085,0.0003616901,0.002087975,0.003005119,0.01090126,0.05449058,0.01592501,0.0003046656,0,0,0.002594661,5.18621E-05,0.0004307821,0,0,0.008553335,0.001153012,0,0,0,0,9.015866E-06,0.04159264,0.001045436,0.0001011652,0,0,0,0,0.03565021,0.0410588,0.001576013,1.162844E-05,0,0,0,0
1983,0,0,0,0,0,0,0,0,0.0005801446,0,0,6.806037E-05,0,0,0.002625948,0,0,0.0155067,0,0,0,0,0.0001331789,0,0.0004572111,0.0006638403,0,0,0,1.660656E-08,0,0,0.0005151055,0.003609536,5.890638E-09,0,0,0,0,0.002159396,0.02059544,0.04727265,0.0003629256,0.002493418,0.003385237,0.01427658,0.05772256,0.02118775,0.0003580762,0,0,0.003416106,7.017551E-05,0.000564384,0,0,0.01034429,0.001574144,0,0,0,0,1.193892E-05,0.0416233,0.001349895,0.0002136488,0,0,0,0,0.04080972,0.04595952,0.003094761,1.2862E-05,0,0,0,0
1984,0,0,0,0,0,0,0,0,0.0006154258,0,0,6.94362E-05,0,0,0.002034595,0,0,0.01506785,0,0,0,0,0.000126486,0,0.0004870157,0.0006623471,0,0,0,1.476816E-08,0,0,0.0001917029,0.0009868732,5.221032E-09,0,0,0,0,0.002337875,0.02112243,0.05048272,0.0003747918,0.002982757,0.003396231,0.01614847,0.05944107,0.02256378,0.0003940853,0,0,0.004009739,7.634664E-05,0.0006085802,0,0,0.01041967,0.003182838,0,0,0,0,1.0701E-05,0.04210291,0.001270407,0.0001704237,0,0,0,0,0.04016425,0.04939205,0.001125387,1.279928E-05,0,0,0,0
1985,0,0,0,0,0,0,0,0,0.0006139014,0,0,6.566074E-05,0,0,0.001413513,0,0,0.013209,0,0,0,0,0.0001145663,0,0.0004687915,0.0006872157,0,0,0,1.379658E-08,0,0,0.002005849,0.002098448,4.83619E-09,0,0,0,0,0.002374806,0.01835988,0.04664644,0.0003141561,0.003291798,0.003125962,0.01699348,0.05218279,0.02119984,0.0003520563,0,0,0.004459148,7.892097E-05,0.0005371767,0,0,0.009308266,0.001498695,0,0,0,0,9.40014E-06,0.03753123,0.001050216,0.0001092081,0,0,0,0,0.03454565,0.04893421,0.001484124,1.141143E-05,0,0,0,0
1986,0,0,0,0,0,0,0,0,0.0006373043,0,0,5.814863E-05,0,0,0.001229883,0,0,0.01170667,0,0,0,0,7.162769E-05,0,0.000519353,0.0006580995,0,0,0,1.30212E-08,0,0,0.001239141,0.008879071,4.414263E-09,0,0,0,0,0.002331806,0.01889158,0.04462327,0.0003272484,0.00346712,0.002602879,0.0175943,0.05128726,0.03419659,0.0003736177,0,0,0.004840466,7.698239E-05,0.0006358279,0,0,0.009586056,0.001324413,0,0,0,0,1.0801E-05,0.04541272,0.001099518,0.0001137167,0,0,0,0,0.03200415,0.05889441,0.001604498,1.047253E-05,0,0,0,0
1987,0,0,0,0,0,0,0,0,0.0005732185,0,0,6.119304E-05,0,0,0.0009669224,0,0,0.0104727,0,0,0,0,4.874272E-05,0,0.0004490289,0.0006933722,0,0,0,1.166888E-08,0,0,0.0006623438,0.005335377,4.246613E-09,0,0,0,0,0.002151969,0.01769953,0.0358456,0.0003212041,0.002466274,0.002431659,0.01658409,0.04520139,0.01978383,0.0003868747,0,0,0.003704143,6.289484E-05,0.0008032098,0,0,0.01027988,0.0008924203,0,0,0,0,1.166849E-05,0.03830402,0.001149621,0.0001385687,0,0,0,0,0.02873855,0.05715318,0.001621814,9.27238E-06,0,0,0,0
1988,0,0,0,0,0,0,0,0,0.0006396915,0,0,5.649035E-05,0,0,0.0006617663,0,0,0.009468555,0,0,0,0,4.685316E-05,0,0.0004561587,0.0007683057,0,0,0,1.12274E-08,0,0,0.0007985432,0.005441093,4.345411E-09,0,0,0,0,0.002279422,0.01661308,0.03782769,0.0003082567,0.002900657,0.002666409,0.01788119,0.04260113,0.01206305,0.0004555193,0,0,0.004297234,6.651396E-05,0.0006084613,0,0,0.007910372,0.001229455,0,0,0,0,1.145484E-05,0.04107278,0.001019897,0.0001581253,0,0,0,0,0.02627607,0.05132414,0.001619471,8.062428E-06,0,0,0,0
1989,0,0,0,0,0,0,0,0,0.0005240012,0,0,4.561356E-05,0,0,0.0006600972,0,0,0.007882975,0,0,0,0,3.806332E-05,0,0.0003849409,0.0006266485,0,0,0,1.050233E-08,0,0,0.0005348844,0.004705816,4.430309E-09,0,0,0,0,0.001950938,0.01526435,0.03060116,0.000276804,0.002156217,0.001926838,0.01506173,0.03690415,0.01615931,0.0004387487,0,0,0.003270447,4.652666E-05,0.0006848779,0,0,0.007945738,0.001347865,0,0,0,0,1.017834E-05,0.04383874,0.0009614425,0.0001424117,0,0,0,0,0.02731021,0.0571585,0.001835349,1.229899E-05,0,0,0,0
