"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/10/2023 9:54:36 AM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_00
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.03581378,0.01241143,0.009639527,0.04975927,0.05776481,0.4131831,0.009900303,0.00384919,0.06075433,0.01094986,0.04100238,0.002579194,0.002563178,0.00819687,0.04583479,0.003756681,0.007857488,0.09152179,0.00687234,0.0294686,0.0009829591,0.3053056,0.002729492,0.2448349,0.1280386,0.00120372,0.002901645,0.0004927645,0.004297887,2.07316E-05,0.0152386,0.000200071,0.002294919,0.01838752,0.005015427,0.1153398,0.08170188,0.1367423,0.002234375,0.01266017,0.3349513,0.06580351,0.1274016,0.04791308,0.04847604,0.05519172,0.4196296,0.07968874,16.57466,0.0005711482,0.05218885,0.1842517,0.03448619,0.05883441,0.008309709,0.0108977,0.5221541,2.192573,5.071581,2.217365,1.139997,1.070583,0.584965,0.05737159,0.01225746,1.627203,0.008541426,0.02048616,0.1243356,0.159077,46.26089,7.152359,12.64855,15.38226,33.93433,4.552159,25.68017,56.06662
2,0.03581997,0.01240444,0.00963538,0.04978286,0.05785311,0.4132728,0.009905056,0.003850083,0.06077848,0.01091992,0.04100174,0.002579165,0.002563539,0.008273325,0.04585308,0.003762672,0.007857657,0.09152022,0.006869343,0.02947163,0.000981394,0.305261,0.002726178,0.2448529,0.1280662,0.001205964,0.002898878,0.0004922613,0.004299278,2.072559E-05,0.01521452,0.0002001254,0.002293254,0.0183873,0.005019473,0.1153248,0.08179559,0.1369678,0.002234395,0.01266157,0.3349433,0.06580225,0.1274626,0.04791774,0.04850083,0.05519233,0.4196392,0.07969229,16.57582,0.0005710348,0.05218827,0.1842558,0.03453043,0.05883643,0.008305582,0.01089575,0.5220547,2.191639,5.071924,2.218027,1.139635,1.071177,0.5850456,0.05737052,0.01225857,1.627128,0.008542165,0.02048595,0.124332,0.159066,46.26022,7.152274,12.64454,15.38204,33.93411,4.551714,25.68178,56.0665
3,0.03582611,0.01239752,0.009631235,0.04980625,0.05794086,0.4133615,0.00990981,0.003850978,0.06080241,0.0108901,0.04100107,0.002579141,0.002563918,0.008350485,0.04587095,0.003768576,0.007857807,0.09151813,0.006866395,0.02947458,0.0009841118,0.3052489,0.002736439,0.2448443,0.1280933,0.001204963,0.002900098,0.0004922921,0.004299922,2.070573E-05,0.01518812,0.0002001807,0.002291601,0.01838701,0.00499237,0.1153351,0.08187254,0.1371919,0.002234411,0.01266289,0.3349329,0.06579914,0.1275232,0.04792235,0.04852544,0.05519315,0.4196453,0.07969595,16.57693,0.0005709247,0.0521874,0.18426,0.03457435,0.05883811,0.008301487,0.01089382,0.5219548,2.192011,5.080365,2.209288,1.138982,1.072439,0.5851266,0.05736944,0.01225958,1.626914,0.008543052,0.02048584,0.1243292,0.1590552,46.26046,7.152202,12.64168,15.38199,33.93375,4.550868,25.68356,56.0679
4,0.03583217,0.01239066,0.009627139,0.04982936,0.05802805,0.4134484,0.009914544,0.003851851,0.06082632,0.01086046,0.0410003,0.00257911,0.002564303,0.008428356,0.04588846,0.003774442,0.00785795,0.09151609,0.006863476,0.02947746,0.0009828961,0.3052348,0.002731641,0.2448644,0.12812,0.001206109,0.002899523,0.0004922913,0.004300267,2.063208E-05,0.01516042,0.0002002355,0.002289956,0.01838667,0.0049497,0.1154138,0.08194274,0.1374138,0.00223442,0.01266421,0.3349238,0.06579649,0.1275838,0.04792675,0.04854952,0.05519361,0.4196509,0.07969958,16.57785,0.0005708156,0.05218652,0.1842636,0.03461788,0.05883945,0.008297425,0.01089192,0.5218546,2.188336,5.073916,2.220305,1.138675,1.072718,0.5851998,0.05736828,0.0122603,1.626624,0.008543929,0.02048578,0.1243275,0.1590451,46.26142,7.152122,12.63904,15.38211,33.93384,4.550271,25.68556,56.06984
5,0.03583812,0.01238383,0.009623057,0.04985251,0.05811482,0.4135332,0.00991926,0.00385271,0.06084986,0.01083097,0.04099965,0.002579082,0.00256469,0.00850693,0.04590572,0.003780292,0.007858067,0.09151381,0.006860576,0.02948019,0.0009787355,0.3052677,0.002723916,0.2448728,0.1281465,0.00120801,0.002898062,0.0004922451,0.004301088,2.053423E-05,0.01513314,0.000200293,0.002288304,0.01838642,0.004922125,0.1154657,0.08194847,0.1376338,0.002234427,0.01266551,0.3349113,0.0657952,0.1276441,0.04793121,0.04857339,0.05519409,0.4196564,0.07970314,16.5788,0.0005707084,0.05218545,0.1842676,0.03466142,0.05883978,0.008293387,0.01089005,0.5217503,2.177873,5.077731,2.225172,1.137646,1.073055,0.5852702,0.05736703,0.01226082,1.626264,0.008544772,0.02048592,0.1243271,0.1590349,46.26331,7.152086,12.6381,15.38244,33.93385,4.548959,25.68785,56.07217
6,0.03584352,0.01237709,0.009619021,0.04987523,0.05820089,0.4136176,0.009923923,0.003853561,0.0608733,0.01080163,0.04099893,0.002579051,0.002565067,0.008586216,0.04592261,0.003786119,0.007858185,0.09151154,0.006857732,0.02948295,0.0009777371,0.3052252,0.00271815,0.2448992,0.1281725,0.001211414,0.002895141,0.0004924457,0.00430195,2.055157E-05,0.01510455,0.0002003487,0.002286657,0.01838659,0.004913571,0.1155208,0.08199084,0.1378517,0.002234429,0.01266676,0.3348922,0.06579467,0.1277042,0.04793577,0.04859705,0.05519466,0.4196589,0.07970663,16.57966,0.0005706033,0.05218435,0.1842715,0.03470445,0.05883968,0.008289369,0.0108882,0.5216411,2.183476,5.078561,2.213204,1.137423,1.074184,0.5853374,0.0573661,0.0122612,1.625883,0.008545525,0.0204862,0.1243282,0.1590256,46.2657,7.152179,12.64197,15.38289,33.93372,4.548293,25.68951,56.07467
7,0.03584858,0.01237042,0.009615002,0.04989788,0.0582867,0.4136997,0.009928558,0.003854397,0.06089634,0.01077244,0.04099793,0.002579024,0.002565471,0.008666229,0.04593925,0.003791961,0.007858296,0.09150861,0.006854895,0.02948567,0.0009804335,0.3051642,0.002728264,0.2449028,0.1281985,0.001208779,0.002898421,0.0004926404,0.004302763,2.04977E-05,0.01507677,0.0002004035,0.002285024,0.01838675,0.004942691,0.1156434,0.08197001,0.1380678,0.002234424,0.01266792,0.3348712,0.06579293,0.1277644,0.04794018,0.04862039,0.05519529,0.419661,0.07970996,16.58033,0.0005704996,0.05218319,0.1842756,0.03474676,0.05883954,0.008285376,0.01088637,0.521533,2.18465,5.074317,2.217039,1.136347,1.074598,0.585409,0.05736542,0.0122617,1.625567,0.008546184,0.02048673,0.1243302,0.1590178,46.26889,7.152291,12.64465,15.38344,33.93347,4.546914,25.68793,56.0783
8,0.03585353,0.01236377,0.00961101,0.04992022,0.05837196,0.4137808,0.009933195,0.003855215,0.06091935,0.01074343,0.04099683,0.002578987,0.002565866,0.008746987,0.04595559,0.003797809,0.007858378,0.09150606,0.006852077,0.02948853,0.0009855826,0.3051987,0.002735985,0.2448945,0.1282239,0.001208989,0.002898602,0.0004930036,0.004302416,2.048803E-05,0.01504776,0.0002004591,0.002283399,0.0183872,0.004985421,0.1156503,0.0819206,0.1382823,0.002234426,0.01266904,0.3348518,0.06579091,0.1278245,0.04794446,0.04864376,0.05519616,0.4196661,0.07971264,16.58126,0.0005703965,0.05218186,0.1842799,0.03478877,0.05883957,0.008281415,0.01088458,0.5214285,2.176874,5.081336,2.215921,1.136864,1.074571,0.5854778,0.05736507,0.01226214,1.625353,0.008546757,0.02048734,0.1243328,0.1590107,46.27229,7.152443,12.64634,15.38385,33.93351,4.54527,25.68693,56.0768
9,0.03585834,0.01235721,0.009607059,0.04994241,0.05845655,0.4138598,0.009937792,0.003856021,0.06094214,0.01071453,0.04099581,0.002578948,0.002566273,0.008828471,0.04597161,0.003803655,0.007858456,0.09150366,0.006849296,0.02949136,0.0009857835,0.3052123,0.002734171,0.2448968,0.1282493,0.001210526,0.002897229,0.0004936936,0.004301629,2.057789E-05,0.01502042,0.0002005168,0.002281774,0.01838768,0.00497141,0.1157053,0.08198041,0.1384958,0.002234426,0.01267015,0.3348313,0.06579008,0.1278848,0.04794881,0.04866691,0.05519677,0.419676,0.07971547,16.58206,0.0005702964,0.05218054,0.1842847,0.03483054,0.05883899,0.008277471,0.01088282,0.521324,2.183256,5.076492,2.212966,1.136165,1.075071,0.5855526,0.05736466,0.01226262,1.625227,0.008547162,0.02048794,0.1243364,0.1590047,46.27565,7.152679,12.64964,15.38404,33.93351,4.543723,25.68523,56.075
10,0.03586311,0.0123507,0.009603127,0.04996445,0.05854079,0.413938,0.009942372,0.003856812,0.06096478,0.0106858,0.04099468,0.002578917,0.002566705,0.008910689,0.0459874,0.003809435,0.007858518,0.09150124,0.006846593,0.02949414,0.0009854182,0.3052274,0.002729907,0.2449174,0.1282741,0.0012098,0.002898615,0.0004939224,0.004301845,2.050875E-05,0.01499218,0.0002005743,0.002280132,0.01838807,0.00497426,0.1158794,0.08192305,0.1387084,0.002234425,0.01267128,0.3348117,0.06578773,0.1279449,0.04795317,0.04868993,0.0551974,0.4196909,0.07971832,16.58274,0.0005701969,0.05217913,0.1842895,0.03487204,0.05883778,0.008273536,0.01088108,0.5212218,2.180082,5.077483,2.215879,1.134514,1.076058,0.5856375,0.05736446,0.01226317,1.625185,0.008547381,0.02048849,0.1243402,0.1589989,46.27881,7.152795,12.65048,15.38388,33.93339,4.543194,25.68324,56.07273
