"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 6:10:28 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.02317018,0.002745016,0.00198055,0.03270077,0.02435518,0.1748642,0.006777781,0.002811257,0.04282587,0.00349431,0.01536279,0.002379043,0.00068695,0.008811731,0.01713884,0.002340354,0.0008477864,0.03960206,0.001740341,0.02981959,9.841275E-05,0.04351276,0.000153157,0.03002,0.07204145,0.003105886,0.003158912,0.0001043185,0.0008407942,3.94605E-05,0.0009940121,0.0003717175,0.0003279008,0.03506532,0.0003557908,0.002882571,0.001179273,1.103658E-05,4.102826E-05,0.001899249,0.05918057,0.01413084,0.04887153,0.003970459,0.0153167,0.001616737,0.02035948,0.01025127,9.05746,0.0001307082,0.02051419,0.1668317,1.647845,0.1525297,0.0007716566,0.0003558885,0.01860669,0.1571713,0.3798083,0.1018136,0.03173288,0.04978722,0.05337039,0.02561642,0.0002371298,2.264483,0.01049439,0.005629168,0.04662693,0.09836547,23.2358,1.911199,6.909754,6.596109,8.056893,3.381335,5.066185,16.41393
2,0.0231906,0.00273153,0.001976423,0.0327756,0.02439325,0.1749244,0.006794329,0.002817146,0.04293844,0.003474544,0.01533803,0.002388045,0.0006886773,0.008897283,0.017223,0.002348643,0.0008492096,0.03959685,0.00174033,0.02903483,0.0001015359,0.04360981,0.0001550862,0.03033776,0.072156,0.00289881,0.003111936,0.0001035961,0.0008165493,3.953073E-05,0.0009950909,0.0003660613,0.0003284734,0.03279979,0.0003647846,0.002919479,0.001152965,1.091809E-05,4.091538E-05,0.001895265,0.0596063,0.0150905,0.04893647,0.003982883,0.01528658,0.001619249,0.02058246,0.01032717,9.201436,0.0001308339,0.02051199,0.1663475,1.636507,0.1519925,0.0007657544,0.0003635905,0.01873689,0.1402518,0.3518453,0.09326852,0.02961123,0.04620694,0.05506003,0.02586805,0.0002372593,2.318576,0.008304493,0.004812403,0.04637435,0.09815983,22.62298,1.852482,5.299755,5.753171,7.177305,4.40938,4.672361,13.19552
3,0.0232086,0.002718146,0.001971943,0.03285936,0.02443151,0.1749011,0.006808992,0.002821738,0.04304193,0.003455453,0.01530682,0.00239512,0.0006902989,0.008983177,0.01729865,0.002356347,0.0008505668,0.04087158,0.001738333,0.02929873,0.0001043057,0.04366766,0.0001542607,0.03096196,0.07222598,0.002977104,0.003088505,0.0001045022,0.00081634,3.977546E-05,0.000994705,0.0003661406,0.0003291894,0.03254084,0.0003752608,0.002911562,0.001148117,1.076068E-05,4.126638E-05,0.001899136,0.06021161,0.01595818,0.04899695,0.003994347,0.01525252,0.001623364,0.02053642,0.01047319,9.323542,0.0001309028,0.02049899,0.1652484,1.614543,0.1514961,0.0007594557,0.0003702361,0.01854872,0.127977,0.3247651,0.08218203,0.02794805,0.04260982,0.05810658,0.02626643,0.0002385608,2.265483,0.006836205,0.004302121,0.0449693,0.09667839,21.55449,1.791349,4.021944,4.95788,7.789357,5.799858,5.698281,11.98178
4,0.02322176,0.002704717,0.001966574,0.03293736,0.0244676,0.1747634,0.006821376,0.00282532,0.04313303,0.003436629,0.01526012,0.002399846,0.0006917929,0.009069503,0.01735552,0.002363915,0.0008518011,0.04253816,0.00173515,0.03006535,0.00010351,0.04353702,0.000153603,0.0318073,0.07224848,0.0032226,0.003106605,0.0001057406,0.0008430012,3.985477E-05,0.0009931345,0.0003792917,0.0003297651,0.03485119,0.0003912328,0.002957648,0.001192032,1.056897E-05,4.179751E-05,0.001910063,0.06094854,0.01664421,0.04906071,0.004009502,0.01522161,0.001626216,0.02026629,0.01067256,9.399237,0.0001309665,0.02047166,0.1637994,1.588918,0.1503527,0.0007528038,0.0003753597,0.01813118,0.1243877,0.3008508,0.0709854,0.0271352,0.03983394,0.06081477,0.0266391,0.0002397796,2.138342,0.006899883,0.00400492,0.04311422,0.09427398,20.45349,1.731183,3.283344,4.404604,9.656787,7.013949,8.177321,13.4776
5,0.02323227,0.002691041,0.001959733,0.03300195,0.02450326,0.1746009,0.006832283,0.002828844,0.04321508,0.003417923,0.0152147,0.002403169,0.0006932578,0.00915654,0.01740943,0.002371917,0.000852822,0.04303296,0.001732265,0.03094981,0.0001037033,0.04353625,0.0001544286,0.03275063,0.07225166,0.003429697,0.003145386,0.0001067298,0.0008696857,3.951444E-05,0.0009908766,0.0003917863,0.000330033,0.03798507,0.0004028811,0.003088999,0.001295162,1.035745E-05,4.237056E-05,0.001924443,0.06171613,0.01613051,0.04916782,0.004029524,0.01521084,0.001631665,0.01992845,0.01086195,9.320947,0.0001310108,0.020437,0.1625257,1.570223,0.1488997,0.0007459152,0.0003733444,0.01765275,0.131885,0.2904018,0.06247931,0.02750348,0.03862354,0.06015503,0.02632012,0.0002421752,1.985917,0.007883281,0.004049304,0.04106258,0.09187397,19.87299,1.708461,3.132651,4.330281,12.07638,7.073836,11.56753,17.61401
6,0.02324593,0.002677266,0.001951861,0.03304974,0.02454311,0.1745818,0.006843252,0.002833612,0.04329799,0.003399307,0.01521452,0.00240655,0.0006960952,0.009245276,0.01745684,0.002380766,0.0008529187,0.04198794,0.001731484,0.03126014,0.0001037163,0.0439116,0.0001555976,0.03340996,0.07227948,0.003418188,0.003176057,0.0001080678,0.0008866681,3.962718E-05,0.000989398,0.0003891724,0.0003304071,0.03824056,0.00040281,0.003261312,0.001367735,1.01461E-05,4.243387E-05,0.001936701,0.06236377,0.01488042,0.0495056,0.004052596,0.01525351,0.001638519,0.0201253,0.0109885,9.177482,0.0001309515,0.02042219,0.162146,1.566287,0.146983,0.0007387984,0.0003642901,0.01743545,0.1511949,0.2976336,0.05805986,0.02844067,0.03893943,0.05519465,0.02526223,0.0002452548,1.869907,0.009153712,0.004069857,0.03601425,0.09020101,19.56372,1.590635,3.588403,4.845116,14.01678,5.745595,14.01003,23.28816
7,0.02326111,0.002663904,0.001943564,0.0330782,0.02458555,0.1747297,0.006855192,0.002839243,0.04338539,0.003380255,0.01525196,0.002411041,0.0006997451,0.009330009,0.01734693,0.002387779,0.0008496687,0.04048557,0.001731699,0.03071294,0.0001019864,0.04413308,0.0001524399,0.03333076,0.07234689,0.003238232,0.003182383,0.0001084328,0.0008733288,3.96279E-05,0.000988784,0.0003801286,0.0003304193,0.03680728,0.0003881335,0.003318397,0.001371298,9.953194E-06,4.227068E-05,0.001944555,0.06262358,0.01350444,0.04995447,0.004067732,0.01531265,0.001640932,0.02044163,0.01098971,9.024756,0.0001307991,0.02042814,0.1625366,1.57733,0.1444203,0.0007314066,0.0003538087,0.0174776,0.1733594,0.3152986,0.05828437,0.02963355,0.03962605,0.04941623,0.02401464,0.0002470327,1.799311,0.01001207,0.003890628,0.03060338,0.08959426,19.54963,1.43068,4.597307,5.770389,15.64936,4.4868,15.4232,27.79636
8,0.02327666,0.002650893,0.001935534,0.03309189,0.02462884,0.1750394,0.006869169,0.002845608,0.04348204,0.003361304,0.01532362,0.002416431,0.0007038061,0.009414854,0.01716918,0.002393012,0.0008440892,0.03890044,0.001732218,0.02987951,9.74385E-05,0.04417165,0.0001463227,0.03247878,0.07243957,0.003045075,0.00316973,0.0001088594,0.0008509852,3.930143E-05,0.0009900911,0.000369174,0.0003299547,0.03496868,0.0003576187,0.00324382,0.001359615,9.792257E-06,4.205216E-05,0.001942863,0.06225175,0.01219948,0.05045276,0.00406594,0.01536009,0.001634285,0.02027913,0.01086069,8.872616,0.0001306289,0.02044898,0.1634656,1.600315,0.1421321,0.00072408,0.0003433639,0.01751422,0.1943385,0.3397256,0.0641524,0.03214904,0.04179716,0.04392908,0.02275864,0.0002463201,1.7831,0.01076612,0.003727091,0.02573646,0.09023952,19.82737,1.278864,6.117512,6.853235,16.34734,3.644531,14.78617,30.76906
9,0.02329289,0.002637712,0.001928508,0.03309876,0.02466929,0.1753646,0.006884128,0.002851661,0.04358396,0.00334242,0.01539138,0.002420142,0.0007077521,0.009504687,0.01719499,0.002400067,0.0008413377,0.03733237,0.00173245,0.030018,9.886401E-05,0.04480758,0.0001480494,0.03176374,0.07250279,0.003019174,0.003152546,0.0001104399,0.000842528,3.919199E-05,0.0009936386,0.0003583307,0.0003289982,0.03484324,0.0003382838,0.003153034,0.001363025,9.672581E-06,4.176163E-05,0.001939603,0.06156644,0.01102263,0.05094672,0.004052224,0.01542946,0.001621707,0.0201929,0.01069162,8.699265,0.0001304123,0.02046009,0.1644148,1.626696,0.1426204,0.0007175207,0.0003324815,0.01769239,0.2045399,0.3722213,0.07502998,0.03506162,0.04495844,0.03899768,0.02154699,0.0002460376,1.818476,0.01259988,0.004786266,0.02224726,0.0919261,20.36956,1.223481,7.779033,7.740016,16.42846,3.080382,13.55192,30.82716
10,0.02330485,0.002624535,0.001923348,0.0330985,0.02470187,0.1755084,0.0068999,0.002857044,0.04368737,0.003323706,0.01539375,0.002423183,0.0007102843,0.009595359,0.01728003,0.002408584,0.0008413862,0.03776611,0.001732315,0.03061995,9.58656E-05,0.04439837,0.00014412,0.03086781,0.07251024,0.003265632,0.003174795,0.0001124473,0.0008675164,3.936279E-05,0.0009951796,0.0003617169,0.0003276546,0.03699642,0.0003172449,0.002987758,0.001323738,9.593567E-06,4.15007E-05,0.001933269,0.06068709,0.01121779,0.05134604,0.004033624,0.01548014,0.001602894,0.01994276,0.0105251,8.688911,0.0001303326,0.0204495,0.1651169,1.648904,0.1449761,0.0007121693,0.0003222707,0.01765956,0.1996499,0.4017842,0.08682685,0.03754604,0.04811319,0.04123508,0.02227261,0.0002438503,1.880686,0.01475556,0.006199618,0.02957854,0.0938821,21.56216,1.450005,8.969359,8.011122,15.41221,2.652638,11.57755,29.49055
